"Type.of.feeding.interaction","Predator.lifestage","Location","Slope","Intercept","R_Squared","P_Value","F_Statistic","Predictor"
"insectivorous","larva / juvenile","Strait of Georgia","81.1591380069622","-3.45975627178893","0.621254577117463","8.51926669047017e-08","49.2088780154159","insectivorous - larva / juvenile"
"piscivorous","adult","Apalachicola Bay, Florida","33.0987246647544","2542.50380929219","0.132795821890007","0.000561879679057593","12.8630019554008","piscivorous - adult"
"piscivorous","adult","Atlantic Ocean","4.86223410967456","1781.92810925732","0.0784205151286032","3.2060784890145e-197","935.348840164226","piscivorous - adult"
"piscivorous","adult","Cape Cod Bay, Gulf of Maine, New England","20.9020831805066","235740.549468056","0.081415963052392","0.0151192023605774","6.20424172904769","piscivorous - adult"
"piscivorous","adult","Eastern Mediterranean","2.10178811132542","167.83104888295","0.352890346819132","1.81489474211431e-13","68.1666439923473","piscivorous - adult"
"piscivorous","adult","Europe, Celtic Sea ecosystem","12.9897337832027","791.833537668489","0.198903821461408","9.7812009306917e-103","518.676900682364","piscivorous - adult"
"piscivorous","adult","French Polynesian EEZ","-1.64593427582037","21176.9940663806","0.000156849803497252","0.587246178185149","0.294767014919704","piscivorous - adult"
"piscivorous","adult","Great Channel South, Gulf of Maine, New England","125.166807253085","107597.245781302","0.123951449844566","1.22274146393274e-22","102.579704197177","piscivorous - adult"
"piscivorous","adult","Great South Bay, Long Island, New York","5.44632116641699","14.5631853115677","0.30716099416389","2.58826202946324e-25","130.784341694212","piscivorous - adult"
"piscivorous","adult","Gulf of Maine, New England","-307.330062225959","276034.961408492","0.0222886889602977","0.18344240447847","1.80094717937862","piscivorous - adult"
"piscivorous","adult","Jeffreys Ledge, Gulf of Maine, New England","30.1139830084535","147760.021989524","0.00599117322338166","0.127510327789256","2.3325588012809","piscivorous - adult"
"piscivorous","adult","Mid Atlantic","5.54412287304514","64.6364734633913","0.157138567803634","0.00043035055039375","13.6097287305854","piscivorous - adult"
"piscivorous","adult","Off the Bay of Biscay","120.756555830182","88678.7053828189","0.202948633663864","2.70482591554989e-19","90.6462451930185","piscivorous - adult"
"piscivorous","adult","South of Marthas Vineyard, New England","1527.79318298831","80233.3407799923","0.0234252175985282","0.571460155763786","0.335819695828038","piscivorous - adult"
"piscivorous","adult","Stellwagen Bank, Gulf of Maine, New England","62.6681856130385","192892.576380019","0.0372630193558567","1.22719848697388e-05","19.5074689483582","piscivorous - adult"
